"id","name","code","account_type","reconcile"
"account_account_3101999","RESULTADOS NO ASIGNADOS","3101999","equity_unaffected","False"
"account_account_1106001","CUENTAS POR COBRAR CLIENTES","1106001","asset_receivable","True"
"account_account_1107001","I.V.A. CREDITO FISCAL","1107001","asset_current","True"
"account_account_2101002","CUENTAS POR PAGAR INTERNACIONALES","2101002","liability_payable","True"
"account_account_2102004","I.V.A. POR PAGAR","2102004","liability_current","True"
"account_account_4101001","VENTAS","4101001","income","True"
"account_account_4101003","RECARGOS EN VENTAS","4101003","income","True"
"account_account_4102004","GANANCIA POR AJUSTE CAMBIARIO","4102004","income_other","True"
"account_account_4102006","DESCUENTOS OBTENIDOS","4102006","income_other","True"
"account_account_5101001","COMPRAS","5101001","expense","True"
"account_account_5102014","PERDIDA POR AJUSTE CAMBIARIO","5102014","expense","True"
"account_account_5102015","DESCUENTOS CONCEDIDOS","5102015","expense","True"
