"id","code","pay_from","percentage_tax_base","tariff_id/id","type_person_id/id","payment_concept_id/id"
"payment_concept_one_line_1","2","0.13","100.0","fees_retention_data_substrat_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_one_l10n_ve_withholding"
"payment_concept_one_line_2","4","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_one_l10n_ve_withholding"
"payment_concept_one_line_3","3","0.00","90.0","fees_retention_data_percentage_two_l10n_ve_withholding","l10n_ve_withholding.type_person_two_l10n_ve_withholding","payment_concept_one_l10n_ve_withholding"
"payment_concept_one_line_4","5","0.00","90.0","fees_retention_data_percentage_five_l10n_ve_withholding","l10n_ve_withholding.type_person_four_l10n_ve_withholding","payment_concept_one_l10n_ve_withholding"
"payment_concept_two_line_1","71","0.13","100.0","fees_retention_data_substrat_second_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_two_l10n_ve_withholding"
"payment_concept_two_line_2","72","0.00","100.0","fees_retention_data_percentage_four_l10n_ve_withholding","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_two_l10n_ve_withholding"
"payment_concept_three_line_1","53","0.13","100.0","fees_retention_data_substrat_second_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_three_l10n_ve_withholding"
"payment_concept_three_line_2","55","0.00","100.0","fees_retention_data_l10n_ve_percentage_three_payment_extension","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_three_l10n_ve_withholding"
"payment_concept_three_line_3","54","0.00","100.0","fees_retention_data_percentage_two_l10n_ve_withholding","l10n_ve_withholding.type_person_two_l10n_ve_withholding","payment_concept_three_l10n_ve_withholding"
"payment_concept_three_line_4","56","0.00","100.0","fees_retention_data_percentage_five_l10n_ve_withholding","l10n_ve_withholding.type_person_four_l10n_ve_withholding","payment_concept_three_l10n_ve_withholding"
"payment_concept_four_line_1","61","0.13","100.0","fees_retention_data_substrat_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_four_l10n_ve_withholding"
"payment_concept_four_line_2","63","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_four_l10n_ve_withholding"
"payment_concept_four_line_3","62","0.00","100.0","fees_retention_data_percentage_two_l10n_ve_withholding","l10n_ve_withholding.type_person_two_l10n_ve_withholding","payment_concept_four_l10n_ve_withholding"
"payment_concept_four_line_4","64","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_four_l10n_ve_withholding","payment_concept_four_l10n_ve_withholding"
"payment_concept_five_line_1","57","0.13","100.0","fees_retention_data_substrat_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_five_l10n_ve_withholding"
"payment_concept_five_line_2","59","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_five_l10n_ve_withholding"
"payment_concept_five_line_3","58","0.00","100.0","fees_retention_data_percentage_two_l10n_ve_withholding","l10n_ve_withholding.type_person_two_l10n_ve_withholding","payment_concept_five_l10n_ve_withholding"
"payment_concept_five_line_4","60","0.00","100.0","fees_retention_data_percentage_five_l10n_ve_withholding","l10n_ve_withholding.type_person_four_l10n_ve_withholding","payment_concept_five_l10n_ve_withholding"
"payment_concept_six_line_1","83","0.13","100.0","fees_retention_data_substrat_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_six_l10n_ve_withholding"
"payment_concept_six_line_2","84","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_six_l10n_ve_withholding"
"payment_concept_six_line_3","85","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_four_l10n_ve_withholding","payment_concept_six_l10n_ve_withholding"
"payment_concept_six_line_4","86","0.00","100.0","fees_retention_data_percentage_four_l10n_ve_withholding","l10n_ve_withholding.type_person_seven_l10n_ve_withholding","payment_concept_six_l10n_ve_withholding"
"payment_concept_seven_line_1","14","0.13","100.0","fees_retention_data_substrat_l10n_ve_withholding","l10n_ve_withholding.type_person_l10n_ve_withholding","payment_concept_seven_l10n_ve_withholding"
"payment_concept_seven_line_2","16","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_three_l10n_ve_withholding","payment_concept_seven_l10n_ve_withholding"
"payment_concept_seven_line_3","15","0.00","100.0","fees_retention_data_percentage_two_l10n_ve_withholding","l10n_ve_withholding.type_person_two_l10n_ve_withholding","payment_concept_seven_l10n_ve_withholding"
"payment_concept_seven_line_4","17","0.00","100.0","fees_retention_data_percentage_one_l10n_ve_withholding","l10n_ve_withholding.type_person_four_l10n_ve_withholding","payment_concept_seven_l10n_ve_withholding"
